epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
9,68.0827,1.57153,1.90731,1.23218,0.00373,0.49744,0.48619,0.26986,1.42417,3.24781,1.12517,0.00081581,0.00081581,0.00081581
10,74.7513,1.55157,1.7084,1.19076,0.96544,0.46886,0.47275,0.26693,1.48045,3.14996,1.13425,0.000898157,0.000898157,0.000898157
11,81.5314,1.51491,1.63957,1.18612,1,0.04672,0.5304,0.30124,1.4667,3.00373,1.16815,0.000978522,0.000978522,0.000978522
12,88.2538,1.53941,1.60985,1.20987,1,0.14059,0.68142,0.36242,1.56487,2.61582,1.18227,0.00105691,0.00105691,0.00105691
13,95.2393,1.49663,1.51552,1.18797,1,0.25519,0.65239,0.3492,1.53175,2.60935,1.18426,0.00113331,0.00113331,0.00113331
14,102.046,1.38519,1.50672,1.15256,0.95713,0.39356,0.80199,0.43116,1.45085,2.30857,1.15994,0.00120774,0.00120774,0.00120774
15,108.701,1.36609,1.35903,1.11041,0.95709,0.48813,0.8617,0.48625,1.42666,1.9932,1.14203,0.00123094,0.00123094,0.00123094
16,115.353,1.35546,1.34172,1.1226,0.95588,0.43436,0.89234,0.47353,1.58452,1.91564,1.22159,0.00121679,0.00121679,0.00121679
17,122.24,1.3897,1.37172,1.13797,0.95632,0.5232,0.89943,0.53407,1.31484,1.68563,1.13883,0.00120265,0.00120265,0.00120265
18,128.556,1.29846,1.26177,1.09199,0.93708,0.62224,0.85394,0.46114,1.47518,1.64717,1.16362,0.0011885,0.0011885,0.0011885
19,135.339,1.27541,1.20726,1.09275,0.91941,0.71444,0.89677,0.5267,1.36814,1.45324,1.12043,0.00117435,0.00117435,0.00117435
20,141.435,1.27276,1.2245,1.10495,0.88432,0.72287,0.90271,0.53482,1.26631,1.41464,1.15574,0.00116021,0.00116021,0.00116021
21,148.035,1.23302,1.12283,1.06879,0.97162,0.81839,0.89981,0.50783,1.35612,1.30908,1.16857,0.00114606,0.00114606,0.00114606
22,154.881,1.28633,1.17928,1.10357,0.96835,0.86678,0.93169,0.54197,1.27979,0.98641,1.14829,0.00113191,0.00113191,0.00113191
23,161.852,1.23988,1.09999,1.06036,0.8673,0.89319,0.86516,0.51071,1.26075,1.00407,1.15564,0.00111776,0.00111776,0.00111776
24,168.976,1.17309,1.05164,1.04953,0.82008,0.86236,0.86371,0.45671,1.4897,0.98558,1.27894,0.00110362,0.00110362,0.00110362
25,175.632,1.2523,1.05207,1.07654,0.94469,0.78957,0.89192,0.49024,1.33305,0.90506,1.18836,0.00108947,0.00108947,0.00108947
26,182.594,1.21299,0.99851,1.04847,0.91496,0.88215,0.90745,0.57678,1.20318,0.88879,1.09816,0.00107532,0.00107532,0.00107532
27,189.692,1.19635,0.97376,1.03963,0.89132,0.86616,0.89601,0.50342,1.24116,0.86861,1.11705,0.00106118,0.00106118,0.00106118
28,196.438,1.15706,0.95722,1.04802,0.92566,0.86566,0.91583,0.58636,1.19356,0.85083,1.08142,0.00104703,0.00104703,0.00104703
29,203.419,1.18492,0.98172,1.04256,0.94469,0.83788,0.93457,0.59896,1.11625,0.7859,1.0483,0.00103288,0.00103288,0.00103288
30,210.031,1.20076,0.94916,1.05701,0.86638,0.78648,0.87042,0.56511,1.1759,1.09372,1.07421,0.00101873,0.00101873,0.00101873
31,216.859,1.15413,0.93626,1.02087,0.98189,0.8103,0.93113,0.57439,1.18748,0.80358,1.06187,0.00100459,0.00100459,0.00100459
32,223.474,1.11062,0.90158,1.0218,0.91027,0.90784,0.94147,0.5872,1.10808,0.76794,1.04123,0.00099044,0.00099044,0.00099044
33,230.508,1.11188,0.86765,1.01167,0.92889,0.92014,0.94665,0.61301,1.12786,0.73222,1.05788,0.000976293,0.000976293,0.000976293
34,237.247,1.0867,0.84718,1.01676,0.94606,0.91275,0.94281,0.60743,1.10793,0.72822,1.03343,0.000962146,0.000962146,0.000962146
35,244.19,1.05023,0.82852,0.9879,0.97603,0.91172,0.94751,0.63744,1.17488,0.72749,1.0526,0.000947999,0.000947999,0.000947999
36,251.243,1.07466,0.83248,1.00591,0.96349,0.90175,0.95132,0.65723,1.05515,0.67473,1.00961,0.000933851,0.000933851,0.000933851
37,258.137,1.06294,0.83326,1.00078,0.95002,0.93048,0.95553,0.59932,1.078,0.69097,1.0289,0.000919704,0.000919704,0.000919704
38,264.729,1.09409,0.83146,1.00638,0.92838,0.94579,0.95345,0.61151,1.0932,0.68715,1.0401,0.000905557,0.000905557,0.000905557
39,271.378,1.0749,0.80047,1.00945,0.97847,0.92012,0.95788,0.63831,1.05343,0.67514,1.02003,0.00089141,0.00089141,0.00089141
40,278.054,1.08739,0.81662,1.00387,0.96466,0.81478,0.95388,0.62022,1.07168,0.75371,1.02396,0.000877263,0.000877263,0.000877263
41,284.89,1.03284,0.79804,0.98588,0.99015,0.9315,0.96675,0.67911,0.98279,0.63254,0.99041,0.000863116,0.000863116,0.000863116
42,291.887,1.05471,0.78887,0.98458,0.97866,0.8639,0.92455,0.64667,1.0936,0.7937,1.04396,0.000848969,0.000848969,0.000848969
43,298.728,0.99194,0.78754,0.97227,0.97407,0.89732,0.96678,0.61509,1.10432,0.6649,1.03836,0.000834822,0.000834822,0.000834822
44,305.864,1.04255,0.7719,0.99028,0.96345,0.93381,0.97101,0.62331,1.05034,0.652,1.00069,0.000820675,0.000820675,0.000820675
45,312.868,1.03557,0.78062,0.97106,0.9918,0.85571,0.94073,0.57103,1.14255,0.7192,1.05934,0.000806528,0.000806528,0.000806528
46,319.32,1.05429,0.75616,1.00221,0.975,0.89002,0.93603,0.63947,1.05399,0.69142,1.02058,0.00079238,0.00079238,0.00079238
47,325.891,0.9961,0.73237,0.97838,0.97214,0.89167,0.9573,0.65697,1.02935,0.64407,1.00686,0.000778233,0.000778233,0.000778233
48,332.744,0.98025,0.706,0.97273,0.97606,0.94103,0.97022,0.63996,1.07026,0.61282,1.04425,0.000764086,0.000764086,0.000764086
49,339.554,1.00693,0.74146,0.97327,0.95957,0.93757,0.97001,0.67182,1.03819,0.63744,0.99581,0.000749939,0.000749939,0.000749939
50,346.097,0.98605,0.72163,0.9782,0.97479,0.9469,0.97561,0.7035,0.93303,0.55854,0.96443,0.000735792,0.000735792,0.000735792
51,353.076,0.97433,0.7145,0.9789,0.95821,0.93557,0.97464,0.66855,0.9813,0.59038,0.99638,0.000721645,0.000721645,0.000721645
52,359.701,0.96136,0.69721,0.97266,0.96928,0.91072,0.97264,0.66553,0.93992,0.57901,0.96919,0.000707498,0.000707498,0.000707498
53,366.369,0.96433,0.70037,0.97565,0.97207,0.91548,0.97414,0.6738,0.961,0.59395,0.97994,0.000693351,0.000693351,0.000693351
54,373.043,0.95783,0.68764,0.95802,0.96723,0.93258,0.96951,0.64199,1.00252,0.61849,0.98284,0.000679204,0.000679204,0.000679204
55,379.985,0.94496,0.68625,0.94978,0.98532,0.94103,0.96789,0.63177,0.98659,0.61874,0.97143,0.000665057,0.000665057,0.000665057
56,386.917,0.92916,0.68478,0.93855,0.97409,0.94205,0.97219,0.66506,0.91456,0.58233,0.96246,0.000650909,0.000650909,0.000650909
57,393.894,0.93245,0.67107,0.94131,0.97801,0.94095,0.9793,0.70881,0.88635,0.55904,0.94322,0.000636762,0.000636762,0.000636762
58,400.898,0.92024,0.68622,0.94743,0.99427,0.90601,0.98536,0.71349,0.86683,0.55638,0.94233,0.000622615,0.000622615,0.000622615
59,407.875,0.91691,0.6576,0.9392,0.98371,0.92057,0.98685,0.72977,0.89449,0.57181,0.94142,0.000608468,0.000608468,0.000608468
60,414.995,0.93828,0.65397,0.94551,0.97246,0.95723,0.98799,0.74156,0.84486,0.52579,0.91934,0.000594321,0.000594321,0.000594321
61,422.231,0.88445,0.62988,0.92169,0.98597,0.94594,0.99013,0.73887,0.8329,0.52501,0.91446,0.000580174,0.000580174,0.000580174
62,429.062,0.88988,0.63637,0.92933,0.9861,0.95986,0.9914,0.74405,0.88352,0.5303,0.93276,0.000566027,0.000566027,0.000566027
63,435.782,0.94034,0.64512,0.94992,0.99112,0.95075,0.98955,0.75095,0.812,0.51534,0.91413,0.00055188,0.00055188,0.00055188
64,443.668,0.91908,0.6248,0.92186,0.98064,0.95196,0.98782,0.71006,0.92004,0.54217,0.95011,0.000537733,0.000537733,0.000537733
65,450.492,0.90281,0.62632,0.94207,0.98631,0.95291,0.98677,0.71435,0.82058,0.51545,0.91763,0.000523586,0.000523586,0.000523586
66,457.81,0.87224,0.61167,0.92399,0.98924,0.94766,0.98766,0.74967,0.77625,0.49602,0.91019,0.000509438,0.000509438,0.000509438
67,464.814,0.88867,0.63401,0.93319,0.98387,0.96293,0.9885,0.72942,0.84022,0.50423,0.92001,0.000495291,0.000495291,0.000495291
68,471.368,0.87124,0.59791,0.91446,0.99016,0.96924,0.99012,0.73575,0.80834,0.50528,0.90828,0.000481144,0.000481144,0.000481144
69,478.177,0.83079,0.61847,0.91532,0.99054,0.97145,0.99135,0.72493,0.81993,0.51282,0.91961,0.000466997,0.000466997,0.000466997
70,485.492,0.86142,0.60567,0.91957,0.98847,0.93626,0.9847,0.70064,0.83861,0.51744,0.92703,0.00045285,0.00045285,0.00045285
71,492.137,0.84795,0.57808,0.9217,0.98265,0.94346,0.96463,0.66871,0.84724,0.53749,0.92283,0.000438703,0.000438703,0.000438703
72,499.545,0.81954,0.58517,0.90006,0.98891,0.9575,0.98758,0.69668,0.82882,0.50201,0.9135,0.000424556,0.000424556,0.000424556
73,507.19,0.86255,0.59414,0.92012,0.98173,0.96398,0.98926,0.73342,0.79562,0.49895,0.90523,0.000410409,0.000410409,0.000410409
74,513.793,0.80955,0.57339,0.90303,0.98217,0.96863,0.99068,0.79576,0.73971,0.46667,0.89032,0.000396262,0.000396262,0.000396262
75,520.891,0.80506,0.57012,0.91584,0.97848,0.97363,0.98874,0.76389,0.76467,0.48834,0.89999,0.000382115,0.000382115,0.000382115
76,527.661,0.8538,0.57534,0.9223,0.97542,0.96954,0.98852,0.75914,0.77993,0.47972,0.90969,0.000367967,0.000367967,0.000367967
77,534.354,0.85821,0.59384,0.92335,0.9778,0.97058,0.98779,0.74538,0.77717,0.48827,0.90414,0.00035382,0.00035382,0.00035382
78,541.291,0.85502,0.5941,0.92141,0.96066,0.96081,0.98656,0.7044,0.86476,0.50685,0.92902,0.000339673,0.000339673,0.000339673
79,547.872,0.82886,0.58899,0.90851,0.98514,0.97737,0.98932,0.75895,0.78173,0.50232,0.90345,0.000325526,0.000325526,0.000325526
80,554.45,0.82136,0.55704,0.90766,0.99453,0.96765,0.9913,0.74968,0.79817,0.47035,0.91045,0.000311379,0.000311379,0.000311379
81,561.331,0.76431,0.54283,0.89583,0.9896,0.96169,0.98971,0.75485,0.74475,0.46138,0.88714,0.000297232,0.000297232,0.000297232
82,568.3,0.75513,0.52342,0.89219,0.99633,0.95132,0.98992,0.75589,0.75287,0.47629,0.89413,0.000283085,0.000283085,0.000283085
83,575.21,0.74714,0.53789,0.88312,0.96757,0.97714,0.98981,0.78404,0.71541,0.46224,0.88666,0.000268938,0.000268938,0.000268938
